NAAM,TYPE_NAAM,GELD_START,LON,LAT,GEMEENTE
De Liereman: fasen 2 en 3,Beschermd cultuurhistorisch landschap,1984/11/23,5.040,51.332,Arendonk
"De Liereman-fase 1: moerassen, vennen en heide",Beschermd cultuurhistorisch landschap,1940/03/08,5.017,51.338,Oud-Turnhout
De Liereman-fase 1: uitbreiding,Beschermd cultuurhistorisch landschap,2006/02/23,5.011,51.338,Oud-Turnhout
Abdij van Postel,Beschermd stads- of dorpsgezicht,1997/02/13,5.190,51.289,Mol
Laagveengebied,Beschermd cultuurhistorisch landschap,2000/05/15,5.171,51.214,Mol
Buitengoor - Meergoor,Beschermd cultuurhistorisch landschap,1982/07/02,5.171,51.214,Mol
De Ronde Put en omgeving,Beschermd cultuurhistorisch landschap,1993/07/06,5.158,51.287,Mol
"Parochiekerk Sint-Jozef met pastorie, Lourdesgrot en bidtuin het Sint-Jozefshofke",Beschermd stads- of dorpsgezicht,2009/07/06,5.222,51.196,Mol
Bossen en plassen van Den Diel met sluis 3,Beschermd cultuurhistorisch landschap,2004/06/22,5.200,51.243,Mol
Kanaal Bocholt-Herentals met sluizen,Beschermd stads- of dorpsgezicht,1999/10/06,5.209,51.238,Mol
"Oorlogsmonument, scholen, klooster, elektriciteitscabine en pastorie",Beschermd stads- of dorpsgezicht,2004/01/16,5.479,51.256,Hamont-Achel
Beverbeekhoeve,Beschermd stads- of dorpsgezicht,1980/07/18,5.514,51.279,Hamont-Achel
Windmolen Napoleonsmolen en omgeving,Beschermd stads- of dorpsgezicht,1982/03/31,5.539,51.251,Hamont-Achel
Tomp van Grevenbos met omgeving,Beschermd cultuurhistorisch landschap,1947/09/24,5.497,51.267,Hamont-Achel
Huizen Rijcken en Cuppens met tuinen,Beschermd stads- of dorpsgezicht,1997/02/13,5.546,51.252,Hamont-Achel
Huis Gijbels met tuin,Beschermd stads- of dorpsgezicht,1997/02/13,5.545,51.251,Hamont-Achel
Huis Spaas met tuin,Beschermd stads- of dorpsgezicht,1997/02/13,5.544,51.251,Hamont-Achel
Huis Simons met tuin,Beschermd stads- of dorpsgezicht,1997/02/13,5.542,51.250,Hamont-Achel
Huis Geusens met tuin,Beschermd stads- of dorpsgezicht,1997/02/13,5.543,51.250,Hamont-Achel
Huis Engelen met tuin,Beschermd stads- of dorpsgezicht,1997/02/13,5.546,51.251,Hamont-Achel
Watermolen met omgeving,Beschermd cultuurhistorisch landschap,1975/07/04,5.052,51.243,Retie
Windmolen De Heerser: omgeving,Beschermd cultuurhistorisch landschap,1976/12/06,5.072,51.280,Retie
Pastorie Sint-Martinusparochie met omgeving,Beschermd stads- of dorpsgezicht,1987/01/16,5.082,51.267,Retie
Kapel Onze-Lieve-Vrouw ter Sneeuw met omgeving,Beschermd cultuurhistorisch landschap,1952/01/29,5.100,51.258,Retie
Sint-Pieterskapel met omgeving,Beschermd cultuurhistorisch landschap,1957/07/06,5.076,51.264,Retie
Etagelinde op dorpsplein Retie,Beschermd cultuurhistorisch landschap,1951/02/19,5.084,51.267,Retie
Hoeve Spooren: omgeving,Beschermd stads- of dorpsgezicht,2002/05/23,5.335,51.227,Lommel
Hoeve De Groote Hoef: omgeving,Beschermd cultuurhistorisch landschap,1974/03/21,5.325,51.222,Lommel
Marktplein,Beschermd cultuurhistorisch landschap,1974/03/29,5.308,51.231,Lommel
Hageven,Beschermd cultuurhistorisch landschap,1985/06/08,5.414,51.261,Lommel
Vloeiweiden,Beschermd cultuurhistorisch landschap,2003/05/20,5.355,51.266,Lommel
Hoeve De Boeretang met omwalling en omgeving,Beschermd cultuurhistorisch landschap,1976/10/14,5.091,51.234,Dessel
Het Goor,Beschermd cultuurhistorisch landschap,1993/07/06,5.148,51.262,Dessel
Damburghoeve met omgeving,Beschermd stads- of dorpsgezicht,1987/01/26,5.572,51.168,Bocholt
Watermolen Luysmolen met omgeving,Beschermd stads- of dorpsgezicht,1994/12/28,5.631,51.179,Bocholt
Windmolen type grondzeiler: omgeving,Beschermd stads- of dorpsgezicht,1994/10/12,5.514,51.188,Bocholt
Parochiekerk Sint-Willibrordus met omgeving,Beschermd stads- of dorpsgezicht,1985/01/17,5.562,51.155,Bocholt
Watermolen Reppelmolen: omgeving,Beschermd stads- of dorpsgezicht,1997/10/23,5.558,51.154,Bocholt
Watermolen Binkenmolen met omgeving,Beschermd stads- of dorpsgezicht,1995/12/05,5.572,51.155,Bocholt
Watermolen Clootsmolen: omgeving,Beschermd stads- of dorpsgezicht,1995/06/07,5.613,51.178,Bocholt
Pastorie Sint-Monulfus en Gondulfusparochie: tuin,Beschermd stads- of dorpsgezicht,2001/03/29,5.517,51.188,Bocholt
Sint-Luciakapel met omgeving,Beschermd cultuurhistorisch landschap,1976/10/15,5.139,51.168,Balen
Watermolen Straalmolen met omgeving,Beschermd stads- of dorpsgezicht,1997/12/23,5.126,51.143,Balen
Watermolen Hoolstmolen met omgeving,Beschermd stads- of dorpsgezicht,1987/01/12,5.153,51.150,Balen
Watermolen Topmolen: omgeving,Beschermd stads- of dorpsgezicht,1993/02/01,5.245,51.158,Balen
Pastorie Sint-Willibrordusparochie met poortgebouw en omgeving,Beschermd cultuurhistorisch landschap,1973/05/04,5.146,51.141,Balen
Windmolen Lemmensmolen met omgeving,Beschermd stads- of dorpsgezicht,1981/02/17,5.748,51.146,Kinrooi
Windmolen Keyersmolen met omgeving,Beschermd stads- of dorpsgezicht,1994/05/30,5.741,51.173,Kinrooi
Kasteel Borgitter met kasteelpark en omgeving,Beschermd stads- of dorpsgezicht,1981/01/13,5.804,51.161,Kinrooi
Hoeve Houbenhof: omgeving,Beschermd stads- of dorpsgezicht,2003/05/28,5.839,51.133,Kinrooi
Ommuurde tuin verdwenen pastorie Sint-Servatiusparochie,Beschermd stads- of dorpsgezicht,2005/10/20,5.805,51.126,Kinrooi
Stamproyerbroek,Beschermd cultuurhistorisch landschap,1985/02/08,5.688,51.180,Kinrooi
Vijverbroek,Beschermd cultuurhistorisch landschap,1993/03/11,5.824,51.160,Kinrooi
Dorpsdries Kleine Brogel en langgestrekte hoeve,Beschermd stads- of dorpsgezicht,2009/02/05,5.454,51.175,Peer
Langgestrekte hoeve en omgeving,Beschermd stads- of dorpsgezicht,2009/02/05,5.454,51.173,Peer
Vallei van de Dommel en Bollisserbeek,Beschermd cultuurhistorisch landschap,1987/12/29,5.429,51.154,Peer
Pastorie Sint-Ursulaparochie met tuin en kerkhof,Beschermd stads- of dorpsgezicht,1999/10/28,5.450,51.172,Peer
Hoeve Sannenhof: omgeving,Beschermd stads- of dorpsgezicht,2002/11/04,5.447,51.151,Peer
"Sigarenfabriek, directeurswoning, meesterwoning en omgeving",Beschermd stads- of dorpsgezicht,1994/09/01,5.405,51.130,Peer
Kapel Onze-Lieve-Vrouw-van-Rust en omgeving,Beschermd cultuurhistorisch landschap,1951/07/12,5.483,51.123,Peer
Parochiekerk Sint-Trudo met omgeving,Beschermd stads- of dorpsgezicht,1983/03/02,5.505,51.153,Peer
Afspanning en stadshoeve De Scherpe Steen en omgeving,Beschermd stads- of dorpsgezicht,1981/10/01,5.454,51.133,Peer
Watermolen Genaamolen met omgeving,Beschermd stads- of dorpsgezicht,1993/10/26,5.589,51.163,Bree
Watermolen Pollismolen met omgeving,Beschermd stads- of dorpsgezicht,1994/12/28,5.635,51.115,Bree
Parochiekerk Onze-Lieve-Vrouw met kerkhof,Beschermd stads- of dorpsgezicht,1981/09/08,5.588,51.148,Bree
Kerkhof parochiekerk Sint-Trudo en pastorietuin,Beschermd stads- of dorpsgezicht,1997/09/23,5.646,51.118,Bree
Watermolen Keyartmolen met omgeving,Beschermd stads- of dorpsgezicht,1993/11/18,5.657,51.123,Bree
Watermolen Galdermansmolen: omgeving,Beschermd stads- of dorpsgezicht,1996/03/19,5.662,51.126,Bree
Kapel van Onze-Lieve-Vrouw van Zeven Weeën: omgeving,Beschermd cultuurhistorisch landschap,1951/07/12,5.418,51.161,Hechtel-Eksel
Sint-Bernarduskapel van de Locht: omgeving,Beschermd stads- of dorpsgezicht,1999/12/16,5.366,51.141,Hechtel-Eksel
Kapel van Onze-Lieve-Vrouw van Lourdes: omgeving,Beschermd stads- of dorpsgezicht,2001/03/28,5.387,51.149,Hechtel-Eksel
Kapel van het Mussennest: omgeving,Beschermd stads- of dorpsgezicht,2001/03/28,5.406,51.145,Hechtel-Eksel
Malesbroek - Scherpenbergen,Beschermd cultuurhistorisch landschap,1985/11/29,5.034,51.142,Meerhout
Grote Hoeve en omgeving,Beschermd cultuurhistorisch landschap,1944/02/02,5.077,51.137,Meerhout
Parochiekerk Sint-Trudo: kerkhof,Beschermd cultuurhistorisch landschap,1976/06/11,5.079,51.131,Meerhout
Liefkenshoeve en omgeving,Beschermd stads- of dorpsgezicht,1978/06/16,5.065,51.119,Meerhout
Haanvense windmolen en omgeving,Beschermd stads- of dorpsgezicht,1981/05/20,5.053,51.117,Meerhout
"Parochiekerk Onze-Lieve-Vrouw, kerkhof en pastorie",Beschermd stads- of dorpsgezicht,2009/06/11,5.098,51.113,Meerhout
Burgerhuis De Zwarte Adelaar met tuin en omgeving van herenhuis Drossaart,Beschermd stads- of dorpsgezicht,1986/07/15,5.790,51.095,Maaseik
"Burgerhuizen, apotheek en stadshuis met omgeving",Beschermd stads- of dorpsgezicht,1986/07/25,5.792,51.095,Maaseik
Stadshoeve in Maasstijl met omgeving,Beschermd stads- of dorpsgezicht,1990/02/06,5.787,51.097,Maaseik
Burgerhuizen In den Prince van Luyck en De Stad Amsterdam,Beschermd stads- of dorpsgezicht,1985/11/25,5.791,51.095,Maaseik
