NIS,NAAM,INWONERS
1000,België,11521238
2000,Vlaams Gewest,6653062
3000,Waals Gewest,3648206
4000,Brussels Hoofdstedelijk Gewest,1219970
10000,Provincie Antwerpen,1875524
11000,Arrondissement Antwerpen,1059839
11001,Aartselaar,14455
11002,Antwerpen,529417
11004,Boechout,13527
11005,Boom,18799
11007,Borsbeek,11077
11008,Brasschaat,38211
11009,Brecht,29809
11013,Edegem,22244
11016,Essen,19196
11018,Hemiksem,11722
11021,Hove (Antwerpen),8287
11022,Kalmthout,19020
11023,Kapellen (Antwerpen),27157
11024,Kontich,21260
11025,Lint,8575
11029,Mortsel,26170
11030,Niel,10493
11035,Ranst,19249
11037,Rumst,15146
11038,Schelle,8559
11039,Schilde,19925
11040,Schoten,34291
11044,Stabroek,18680
11050,Wijnegem,10084
11052,Wommelgem,12991
11053,Wuustwezel,21346
11054,Zandhoven,13124
11055,Zoersel,22142
11056,Zwijndrecht,19263
11057,Malle,15620
12000,Arrondissement Mechelen,348539
12002,Berlaar,11710
12005,Bonheiden,15177
12007,Bornem,21428
12009,Duffel,17714
12014,Heist-op-den-Berg,43096
12021,Lier,36923
12025,Mechelen,86911
12026,Nijlen,22985
12029,Putte,18109
12035,Sint-Katelijne-Waver,21197
12040,Willebroek,27081
12041,Puurs-Sint-Amands,26208
13000,Arrondissement Turnhout,467146
13001,Arendonk,13207
13002,Baarle-Hertog,2935
13003,Balen,22853
13004,Beerse,18194
13006,Dessel,9659
13008,Geel,40781
13010,Grobbendonk,11249
13011,Herentals,28194
13012,Herenthout,9185
13013,Herselt,14649
13014,Hoogstraten,21560
13016,Hulshout,10553
13017,Kasterlee,19052
13019,Lille,16517
13021,Meerhout,10279
13023,Merksplas,8616
13025,Mol,37021
13029,Olen,12600
13031,Oud-Turnhout,14201
13035,Ravels,15104
13036,Retie,11582
13037,Rijkevorsel,12262
13040,Turnhout,45874
13044,Vorselaar,7995
13046,Vosselaar,11443
13049,Westerlo,25288
13053,Laakdal,16293
20001,Provincie Vlaams-Brabant,1162084
20002,Provincie Waals-Brabant,407397
21000,Arrondissement Brussel-Hoofdstad,1219970
21001,Anderlecht,121929
21002,Oudergem,34723
21003,Sint-Agatha-Berchem,25441
21004,Brussel,186916
21005,Etterbeek,48331
21006,Evere,43061
21007,Vorst (Brussel-Hoofdstad),56281
21008,Ganshoren,25189
21009,Elsene,87488
21010,Jette,52854
21011,Koekelberg,21873
21012,Sint-Jans-Molenbeek,98112
21013,Sint-Gillis,49196
21014,Sint-Joost-ten-Node,27124
21015,Schaarbeek,131451
21016,Ukkel,84774
21017,Watermaal-Bosvoorde,25221
21018,Sint-Lambrechts-Woluwe,58010
21019,Sint-Pieters-Woluwe,41996
23000,Arrondissement Halle-Vilvoorde,649086
23002,Asse,33827
23003,Beersel,25756
23009,Bever,2201
23016,Dilbeek,43732
23023,Galmaarden,8814
23024,Gooik,9230
23025,Grimbergen,38314
23027,Halle (Halle-Vilvoorde),40656
23032,Herne,6706
23033,Hoeilaart,11509
23038,Kampenhout,12280
23039,Kapelle-op-den-Bos,9524
23044,Liedekerke,13482
23045,Londerzeel,19016
23047,Machelen (Halle-Vilvoorde),15895
23050,Meise,19790
23052,Merchtem,17154
23060,Opwijk,14793
23062,Overijse,25655
23064,Pepingen,4499
23077,Sint-Pieters-Leeuw,35061
23081,Steenokkerzeel,12372
23086,Ternat,16144
23088,Vilvoorde,45715
23094,Zaventem,35184
23096,Zemst,23314
23097,Roosdaal,11688
23098,Drogenbos,5699
23099,Kraainem,13847
23100,Linkebeek,4739
23101,Sint-Genesius-Rode,18626
23102,Wemmel,17013
23103,Wezembeek-Oppem,14254
23104,Lennik,9190
23105,Affligem,13407
24000,Arrondissement Leuven,512998
24001,Aarschot,30281
24007,Begijnendijk,10322
24008,Bekkevoort,6348
24009,Bertem,10190
24011,Bierbeek,10194
24014,Boortmeerbeek,12711
24016,Boutersem,8249
24020,Diest,24370
24028,Geetbets,6188
24033,Haacht,15080
24038,Herent,22046
24041,Hoegaarden,6843
24043,Holsbeek,10148
24045,Huldenberg,9981
24048,Keerbergen,13073
24054,Kortenaken,7898
24055,Kortenberg,20425
24059,Landen,16051
24062,Leuven,101032
24066,Lubbeek,14728
24086,Oud-Heverlee,11209
24094,Rotselaar,17081
24104,Tervuren,22861
24107,Tienen,35545
24109,Tremelo,15008
24130,Zoutleeuw,8531
24133,Linter,7253
24134,Scherpenheuvel-Zichem,23135
24135,Tielt-Winge,10877
24137,Glabbeek,5340
25000,Arrondissement Nijvel,407397
25005,Bevekom,7190
25014,Eigenbrakel,40093
25015,Kasteelbrakel,10532
25018,Chaumont-Gistoux,11630
25023,Court-Saint-Etienne,10599
25031,Genepiën,15632
25037,Graven,13984
25043,Incourt,5521
25044,Itter,7021
25048,Geldenaken,14309
25050,Terhulpen,7441
